time,width,height,area,density
165.0000,12.2426,12.3446,151.1292,0.2059
168.0000,12.2426,12.3446,151.1292,0.2059
171.0000,12.2426,12.3446,151.1292,0.2059
174.0000,12.2426,12.3446,151.1292,0.2059
177.0000,12.2426,12.3446,151.1292,0.2059
180.0000,12.2426,12.3446,151.1292,0.2059
183.0000,12.2426,12.3446,151.1292,0.2059
186.0000,12.2426,12.3446,151.1292,0.2059
189.0000,12.2426,12.3446,151.1292,0.2059
192.0000,12.2426,12.3446,151.1292,0.2059
195.0000,12.2426,12.3446,151.1292,0.2059
198.0000,12.2426,12.3446,151.1292,0.2059
201.0000,12.2426,12.3446,151.1292,0.2059
204.0000,12.2426,12.3446,151.1292,0.2059
207.0000,12.2426,12.3446,151.1292,0.2059
210.0000,12.2426,12.3446,151.1292,0.2059
213.0000,12.2426,12.3446,151.1292,0.2059
216.0000,12.2426,12.3446,151.1292,0.2059
219.0000,12.2426,12.3446,151.1292,0.2059
222.0000,12.2426,12.3446,151.1292,0.2059
225.0000,12.2426,12.3446,151.1292,0.2059
228.0000,12.2426,12.3446,151.1292,0.2059
231.0000,12.2426,12.3446,151.1292,0.2059
234.0000,12.2426,12.3446,151.1292,0.2059
237.0000,12.2426,12.3446,151.1292,0.2059
240.0000,12.2426,12.3446,151.1292,0.2059
243.0000,12.2426,12.3446,151.1292,0.2059
246.0000,12.2426,12.3446,151.1292,0.2059
249.0000,12.2426,12.3446,151.1292,0.2059
252.0000,12.2426,12.3446,151.1292,0.2059
255.0000,12.2426,12.3446,151.1292,0.2059
258.0000,12.2426,12.3446,151.1292,0.2059
261.0000,12.2426,12.3446,151.1292,0.2059
264.0000,12.2426,12.3446,151.1292,0.2059
267.0000,12.2426,12.3446,151.1292,0.2059
270.0000,12.2426,12.3446,151.1292,0.2059
273.0000,12.2426,12.3446,151.1292,0.2059
276.0000,12.2426,12.3446,151.1292,0.2059
279.0000,12.2426,12.3446,151.1292,0.2059
282.0000,12.2426,12.3446,151.1292,0.2059
285.0000,12.2426,12.3446,151.1292,0.2059
288.0000,12.2426,12.3446,151.1292,0.2059
291.0000,12.2426,12.3446,151.1292,0.2059
294.0000,12.2426,12.3446,151.1292,0.2059
297.0000,12.2426,12.3446,151.1292,0.2059
300.0000,12.2426,12.3446,151.1292,0.2059
303.0000,12.2426,12.3446,151.1292,0.2059
306.0000,12.2426,12.3446,151.1292,0.2059
309.0000,12.2426,12.3446,151.1292,0.2059
312.0000,12.2426,12.3446,151.1292,0.2059
315.0000,12.2426,12.3446,151.1292,0.2059
318.0000,12.2426,12.3446,151.1292,0.2059
321.0000,12.2426,12.3446,151.1292,0.2059
324.0000,12.2426,12.3446,151.1292,0.2059
327.0000,12.2426,12.3446,151.1292,0.2059
330.0000,12.2426,12.3446,151.1292,0.2059
333.0000,12.2426,12.3446,151.1292,0.2059
336.0000,12.2426,12.3446,151.1292,0.2059
339.0000,12.2426,12.3446,151.1292,0.2059
342.0000,12.2426,12.3446,151.1292,0.2059
345.0000,12.2426,12.3446,151.1292,0.2059
348.0000,12.2426,12.3446,151.1292,0.2059
351.0000,12.2426,12.3446,151.1292,0.2059
354.0000,12.2426,12.3446,151.1292,0.2059
357.0000,12.2426,12.3446,151.1292,0.2059
359.9700,12.2426,12.3446,151.1292,0.2059
